n.id,n.label_en,n.label_tr,common,good for breakfast,"1 = all, 2= Dutch, 3= Turkish, 4=USA"
foodkg:ingredient#09183,Cassaba melon,Cassaba kavun,1,,
foodkg:ingredient#09184,"Honeydew, frozen","Tatlı ve sulu, dondurulmuş",1,,
foodkg:ingredient#09190,Mulberries,Dut,1,,
foodkg:ingredient#09191,Nectarine,Nektarin,1,,
foodkg:ingredient#09195,"Olives, green","Zeytin, yeşil",1,,
foodkg:ingredient#09200,Tangelo,Tangelo,1,,
foodkg:ingredient#09218,Tangerine,Mandalina,1,,
foodkg:ingredient#09231,Passion fruit,Tutku meyve,1,,
foodkg:ingredient#09236,"Peach, frozen, unsweetened","Şeftali, şekersiz dondurulmuş",1,,
foodkg:ingredient#09252,Pear,Armut,1,2,
foodkg:ingredient#09253,"Pear, cooked or canned, unsweetened, water pack","Armut, pişirilmiş veya konserve, şekersiz, su paketi",1,,
foodkg:ingredient#09263,Persimmon,Trabzon hurması,1,,
foodkg:ingredient#09266,Pineapple,Ananas,1,,
foodkg:ingredient#09277,Ripe plantain,Olgun muz,1,,
foodkg:ingredient#09279,Plum,Erik,1,,
foodkg:ingredient#09286,Pomegranate,Nar,1,,
foodkg:ingredient#09291,"Prune, dried, uncooked","Erik, kurutulmuş, pişmemiş",1,,
foodkg:ingredient#09302,"Raspberries, frozen, unsweetened","Ahududu, dondurulmuş, şekersiz",1,,
foodkg:ingredient#09307,"Rhubarb, cooked or canned, unsweetened","Ravent, pişirilmiş veya konserve, şekersiz",1,,
foodkg:ingredient#09316,Strawberries,Çilek,1,2,
foodkg:ingredient#09318,"Strawberries, frozen, unsweetened","Dondurulmuş çilek, şekersiz",1,,
foodkg:ingredient#09322,Tamarind,"Demirhindi, ham",1,,
foodkg:ingredient#09340,"Pear, Japanese","Armut, Japon",1,,
foodkg:ingredient#09434,"Soursop, nectar","Soursop, nektar",1,,
ingredient#nevo:83,Egg whole chicken average raw,"Yumurta, bütün, tavuk, ortalama",1,"2, 4",
ingredient#nevo:84,Egg whole chicken average boiled,"Yumurta, bütün, tavuk, ortalama, haşlanmış",1,"2, 4",
ingredient#nevo:85,Egg yolk chicken raw,"Yumurta sarısı, tavuk",1,,
ingredient#nevo:86,Egg yolk chicken boiled,"Yumurta sarısı, tavuk, haşlanmış",1,,
ingredient#nevo:87,Egg powder chicken,"Yumurta tozu, tavuk",1,,
ingredient#nevo:358,Egg white chicken raw,"Yumurta beyazı, tavuk",1,,
ingredient#nevo:80,Flour rice,"Un, pirinç",1,,
ingredient#nevo:208,Flour buckwheat,"Un, karabuğday",1,,
ingredient#nevo:217,Flour rye 60% extraction,"Un, çavdar,% 60 ekstraksiyon",1,,
foodkg:ingredient#11001,Alfalfa sprouts,"Yonca lahanası, ham",1,,
foodkg:ingredient#11011,Asparagus,Kuşkonmaz,1,,
foodkg:ingredient#11043,Bean sprouts,Fasulye lahanası,1,,
foodkg:ingredient#11052,"Beans, string, green","Fasulye, yeşil",1,,
foodkg:ingredient#11080,Beets,Pancar,1,,
foodkg:ingredient#11086,Beet greens,Pancar yeşiller,1,,
foodkg:ingredient#11090,Broccoli,Brokoli,1,,
foodkg:ingredient#11096,Broccoli raab,Yabani brokoli / rapini,1,,
foodkg:ingredient#11098,Brussels sprouts,Brüksel lahanası,1,,
foodkg:ingredient#11109,"Cabbage, green","Lahana, yeşil",1,,
foodkg:ingredient#11112,"Cabbage, red","Lahana, kırmızı",1,,
foodkg:ingredient#11116,"Cabbage, Chinese","Lahana, Çin",1,,
foodkg:ingredient#11124,"Raw vegetable, NFS","Ham bitkisel, belirtilmemiş",1,,
foodkg:ingredient#11135,Cauliflower,Karnabahar,1,,
foodkg:ingredient#11143,Celery,Kereviz,1,,
foodkg:ingredient#11147,Chard,"Pazı, ham",1,,
foodkg:ingredient#11156,Chives,Frenk soğanı,1,,
foodkg:ingredient#11161,Collards,Karalahana,1,,
foodkg:ingredient#11165,Recaito,Recaito,1,,
foodkg:ingredient#11167,Corn,Mısır,1,,
foodkg:ingredient#11203,Cress,Tere,1,,
foodkg:ingredient#11206,Cucumber,Salatalık,1,2,
foodkg:ingredient#11207,Dandelion greens,Karahindiba yeşiller,1,,
foodkg:ingredient#11209,Eggplant,Patlıcan ,1,,
foodkg:ingredient#11212,"Edamame, cooked",Soya fasulyesi,1,,
foodkg:ingredient#11215,Garlic,Sarımsak,1,,
foodkg:ingredient#11226,"Artichoke, Jerusalem","Enginar, Kudüs",1,,
foodkg:ingredient#11233,Kale,Kale,1,,
foodkg:ingredient#11241,Kohlrabi,Alabaş,1,,
foodkg:ingredient#11246,Leek,Pırasa,1,,
foodkg:ingredient#11250,"Lettuce, manoa","Marul, Manoa",1,,
foodkg:ingredient#11252,Lettuce,Marul,1,,
foodkg:ingredient#11260,Mushrooms,Mantar,1,,
foodkg:ingredient#11282,"Onions, mature",Soğan,1,,
foodkg:ingredient#11291,"Onions, young green","Soğan, genç yeşil",1,,
foodkg:ingredient#11297,Parsley,Maydanoz,1,,
foodkg:ingredient#11300,Snowpeas,Snowpeas,1,,
foodkg:ingredient#11304,"Peas, green","Bezelye, yeşil",1,,
foodkg:ingredient#11333,"Pepper, sweet, green","Biber, tatlı, yeşil",1,,
foodkg:ingredient#11349,Poi,Poi,1,,
foodkg:ingredient#11429,Radish,Turp,1,,
foodkg:ingredient#11435,Rutabaga,Şalgam,1,,
foodkg:ingredient#11439,"Sauerkraut, cooked, fat not added in cooking","Lahana turşusu, pişmiş, yağ eklenmemiş",1,,
foodkg:ingredient#11457,Spinach,Ispanak,1,,
foodkg:ingredient#11477,"Squash, summer, green","Kabak, yeşil",1,,
foodkg:ingredient#11527,"Tomatoes, green","Domates, yeşil",1,,
foodkg:ingredient#11529,Tomatoes,Domates,1,2,
foodkg:ingredient#11564,Turnip,Turp,1,,
foodkg:ingredient#11590,Water chestnut,Su kestanesi,1,,
foodkg:ingredient#11591,Watercress,Su teresi,1,,
foodkg:ingredient#11603,Jicama,Jicama,1,,
foodkg:ingredient#11609,"Beets, pickled",Pancar turşusu,1,,
foodkg:ingredient#11641,"Squash, summer, yellow","Kabak, sarı",1,,
foodkg:ingredient#11643,"Squash, winter type","Kabak, kış tipi",0,,
ingredient#nevo:218,Flour rye,"Un, çavdar",1,,
ingredient#nevo:220,Flour wheat white,"Un, buğday, beyaz",1,,
ingredient#nevo:222,Flour wheat wholemeal,"Un, buğday, kepekli",1,,
ingredient#nevo:695,Flour cassava,"Un, manyok",1,,
ingredient#nevo:868,Flour soya defatted,"Un, soya",1,,
ingredient#nevo:869,Flour soya full fat,"Un, soya, tam yağ",1,,
ingredient#nevo:1020,Flour wheat self-raising,"Un, buğday, kendini yetiştirme",1,,
ingredient#nevo:308,Oil peanut,Fıstık yağı,1,,
ingredient#nevo:313,Oil soy,Soya yağı,1,,
ingredient#nevo:317,Oil sunflower seed,Ayçiçeği tohumu yağı,1,,
ingredient#nevo:601,Oil olive,Zeytin yağı,1,,
ingredient#nevo:607,Oil safflower,Aspur yağı,1,,
ingredient#nevo:608,Oil corn,Mısır yağı,1,,
ingredient#nevo:3051,Oil linseed,Keten tohumu yağı,1,,
ingredient#nevo:3243,Oil coconut,Hindistancevizi yağı,1,,
ingredient#nevo:3334,Oil rice bran,Pirinç kepeği yağı,1,,
ingredient#nevo:3376,Oil sesame,Susam yağı,1,,
ingredient#nevo:3349,Sauce bolognese ready made jar,Kolza yağı,1,,
ingredient#nevo:3451,Oil palm,Palmiye yağı,1,,
ingredient#nevo:3153,Quinoa raw,Kinoa,1,,
ingredient#nevo:3154,Quinoa cooked,"Kinoa, pişmiş",1,,
ingredient#nevo:2740,Sweet pepper yellow raw,"Tatlı biber, sarı",1,,
ingredient#nevo:2741,Sweet pepper yellow boiled,"Tatlı pepperr, sarı, haşlanmış",1,,
ingredient#nevo:2742,Sweet pepper average raw,"Tatlı biber, ortalama",1,,
ingredient#nevo:2743,Sweet pepper average boiled,"Tatlı biber, ortalama, haşlanmış",1,,
ingredient#nevo:3048,Sweet pepper orange raw,"Tatlı biber, turuncu",1,,
ingredient#nevo:31,Sweet pepper green raw,"Tatlı biber, yeşil",1,,
ingredient#nevo:32,Sweet pepper green boiled,"Tatlı biber, yeşil, haşlanmış",1,,
ingredient#nevo:884,Sweet pepper red raw,"Tatlı biber, kırmızı",1,,
ingredient#nevo:885,Sweet pepper red boiled,"Tatlı biber, kırmızı, haşlanmış",1,,
ingredient#nevo:2524,Chili pepper raw,Chili biber,1,,
ingredient#nevo:453,Peppermint,Nane,1,,
ingredient#nevo:2953,Salt sea,Deniz tuzu,1,,
ingredient#nevo:2731,Tomato cherry raw,"Domates, kiraz",1,"2,3",
ingredient#nevo:60,Tomatoes classic round raw,"Domates, klasik yuvarlak",1,,
ingredient#nevo:61,Tomatoes classic round boiled,"Domates, klasik yuvarlak, haşlanmış",1,,
ingredient#nevo:2377,"Tomatoes dried in oil tin/glass, drained",Yağda kurutulmuş domatesler,1,,
foodkg:ingredient#11729,"Beans, string, green, canned, low sodium, fat not added in cooking","Fasulye, yeşil, konserve, düşük sodyum",0,,
ingredient#nevo:2730,Tomato vine raw,"Domates, asma",1,,
ingredient#nevo:2732,Tomato beef raw,"Domates, sığır eti",1,,
ingredient#nevo:2733,Tomato beef boiled,"Domates, sığır eti, haşlanmış",1,,
ingredient#nevo:2734,Tomato average raw,"Domates, ortalama",1,2,
ingredient#nevo:2735,Tomato average boiled,"Domates, ortalama, haşlanmış",1,,
ingredient#nevo:5100,Tapenade tomato,Domates tapenade,1,,
foodkg:ingredient#11735,"Beets, canned, low sodium, fat not added in cooking","Pancar, konserve, düşük sodyum",1,,
ingredient#nevo:5141,Tzatziki,Cacık,1,,
ingredient#nevo:4,Pasta white raw,"Makarna, beyaz",1,,
ingredient#nevo:659,Pasta white average boiled,"Makarna, beyaz, ortalama, haşlanmış",1,,
ingredient#nevo:811,Pasta wholemeal raw,"Makarna, kepekli",1,,
ingredient#nevo:2157,Pasta wholemeal boiled,"Makarna, kepekli, haşlanmış",1,,
ingredient#nevo:2271,Pasta gluten free raw Schar,"Makarna, Glütensiz (Schar)",1,,
ingredient#nevo:2779,Pasta white wo egg boiled,"Makarna, Beyaz, Yumurta, Haşlanmış",1,,
ingredient#nevo:2780,Pasta white w egg boiled,"Makarna, beyaz, w / yumurta, haşlanmış",1,,
ingredient#nevo:2781,Pasta white fresh boiled,"Makarna, beyaz, taze, haşlanmış",1,,
ingredient#nevo:3250,Pasta gluten free cooked Schar,"Makarna, glutensiz, pişmiş (Schar)",1,,
ingredient#nevo:2793,Baguette white,"Baget, beyaz",1,2,
ingredient#nevo:2794,Baguette brown,"Baget, kahverengi",1,2,
ingredient#nevo:2359,Wrap/Tortilla,"Sarma, tortilla",1,,
foodkg:ingredient#11758,"Carrots, canned, low sodium, fat not added in cooking","Havuç, konserve, düşük sodyum, yağ pişirme eklenmez",1,,
foodkg:ingredient#11771,"Corn, yellow, canned, low sodium, fat not added in cooking","Mısır, sarı, konserve, düşük sodyum, yağ pişirme eklenmez",1,,
foodkg:ingredient#11821,"Pepper, sweet, red","Biber, tatlı, kırmızı, çiğ",1,,
foodkg:ingredient#11885,"Tomatoes, canned, low sodium","Domates, konserve, düşük sodyum",1,,
foodkg:ingredient#11937,"Pickles, NS as to vegetable","Turşu, sebze olarak, belirtilmemiş",1,,
foodkg:ingredient#11941,"Cucumber pickles, sour","Salatalık turşu, ekşi",1,,
foodkg:ingredient#11943,Pimiento,Pimiento,1,,
foodkg:ingredient#11945,"Pickles, mixed","Turşu, Karışık",1,,
foodkg:ingredient#11946,"Cucumber pickles, dill, reduced salt","Salatalık turşu, dereotu, düşük tuz",1,,
foodkg:ingredient#11948,"Cucumber pickles, sweet, reduced salt","Salatalık turşu, tatlı, azaltılmış tuz",1,,
foodkg:ingredient#11952,Radicchio,Radicchio,1,,
foodkg:ingredient#11957,Fennel bulb,Rezene ampul,1,,
foodkg:ingredient#11959,"Lettuce, arugula","Marul, roka",1,,
foodkg:ingredient#11963,Cactus,Kaktüs,1,,
foodkg:ingredient#11965,Broccoflower,Broccoflower,1,,
foodkg:ingredient#11976,"Pepper, banana","Biber, muz",1,,
foodkg:ingredient#11977,"Pepper, Serrano","Biber, Serrano",1,,
foodkg:ingredient#12016,"Pumpkin seeds, unsalted","Kabak tohumları, tuzsuz",1,,
foodkg:ingredient#12037,"Sunflower seeds, NFS","Ayçiçeği tohumları, çeşitli",1,,
foodkg:ingredient#12061,"Almonds, unroasted","Badem, kavrulmamış",1,,
foodkg:ingredient#12063,"Almonds, NFS","Badem, çeşitli",1,,
foodkg:ingredient#12078,Brazil nuts,Brezilya fındığı,1,,
foodkg:ingredient#12085,"Cashews, unroasted","Kaju, kavrulmamış",1,,
foodkg:ingredient#12104,"Coconut, fresh","Hindistan cevizi, taze",1,,
foodkg:ingredient#12109,"Coconut, packaged","Hindistan Cevizi, paketlenmiş",1,,
foodkg:ingredient#12120,Hazelnuts,Fındıklar,1,3,
foodkg:ingredient#12142,"Pecans, unroasted","Cevizler, kavrulmamış",1,,
foodkg:ingredient#12147,Pine nuts,Çam fıstığı,1,,
foodkg:ingredient#12152,"Pistachio nuts, NFS",Fıstık fındık,1,,
foodkg:ingredient#12155,Walnuts,Ceviz,1,3,
foodkg:ingredient#12167,Chestnuts,Kestane,1,,
foodkg:ingredient#12220,Chia seeds,Chia çekirdekleri,1,,
foodkg:ingredient#12588,Cashew butter,Kaju tereyağı,1,,
foodkg:ingredient#12632,Macadamia nuts,"Fındık, Macadamia",1,,
foodkg:ingredient#12695,Almond butter,Badem tereyağı,1,,
foodkg:ingredient#14381,"Tea, hot, herbal","Çay, sıcak, bitkisel",1,,
foodkg:ingredient#14090,"Coconut water, unsweetened","Hindistan cevizi suyu, şekersiz",1,,
foodkg:ingredient#14121,"Carbonated water, unsweetened","Karbonatlı su, şekersiz",1,,
foodkg:ingredient#14201,"Coffee and chicory, brewed, decaffeinated","Kahve ve hindiba, demlenmiş, kafeinsiz",1,,
foodkg:ingredient#14202,"Coffee, espresso, decaffeinated","Kahve, espresso, kafeinsiz",1,,
foodkg:ingredient#14209,"Coffee and chicory, brewed","Kahve ve hindiba, demlenmiş",1,,
foodkg:ingredient#14210,"Coffee, espresso","Kahve, espresso",1,2,
foodkg:ingredient#14411,"Water, tap",Su musluğu,1,,
foodkg:ingredient#14545,"Tea, hot, chamomile","Çay, sıcak, papatya",1,2,
foodkg:ingredient#14555,"Water, bottled, unsweetened","Su, şişe, şekersiz",1,2,
foodkg:ingredient#14649,"Tea, hot, hibiscus ","Çay, sıcak, ebegümeci",1,2,
foodkg:ingredient#15002,"Anchovy, canned","Hamsi, konserve",1,,
foodkg:ingredient#15012,"Roe, sturgeon","Roe, mersin balığı",1,,
foodkg:ingredient#15028,"Flounder, smoked","Pisi balığı, füme",1,,
foodkg:ingredient#15035,"Haddock, smoked","Mezgit, füme",1,,
foodkg:ingredient#15036,Halibut,Halibut,1,,
foodkg:ingredient#15039,Herring,Herring,1,,
foodkg:ingredient#15048,"Mackerel, canned","Uskumru, konserve",1,,
foodkg:ingredient#15055,Mullet,Kefal,1,,
foodkg:ingredient#15057,Ocean perch,Okyanus levrek,1,,
foodkg:ingredient#15068,Pompano,"Pompano, balık",1,,
foodkg:ingredient#15072,"Roe, herring","Roe, ringa",1,,
foodkg:ingredient#15090,Porgy,Porgy,1,,
foodkg:ingredient#15121,"Tuna, canned, water pack","Ton balığı, konserve, su paketi",1,,
foodkg:ingredient#15127,"Tuna, fresh, dried","Ton balığı, taze, kurutulmuş",1,,
foodkg:ingredient#15141,"Crab, canned","Yengeç, konserve",1,,
foodkg:ingredient#15152,"Shrimp, canned","Karides, konserve",1,,
foodkg:ingredient#15164,Mussels,Midye,1,,
foodkg:ingredient#15167,Oysters,İstiridye,1,,
foodkg:ingredient#15175,Squid,"Kalamar, ham",1,,
ingredient#compid:01.02.0010,"Milk, UHT (%3)","İnek sütü, tam yağlı",1,2,
ingredient#compid:01.02.0015,"Yoghurt, cows milk, whole ","Yoğurt, tam yağlı",1,"2,3",
ingredient#compid:12.02.0048,"Kefir, whole","Kefir, tam yağlı",1,3,
ingredient#compid:01.02.0022,Ayran,Ayran,1,,
ingredient#compid:01.02.0006,"Cheese, kasar, full fat","Kaşar peyniri, tam yağlı",1,"2,3",
ingredient#compid:02.01.0007,"Egg, chicken, whole",Yumurta,1,"2, 3, 4, ",
ingredient#compid:03.01.0004,"Veal, fillet","Kırmızı et, yağlı pişmiş",1,,
foodkg:ingredient#16087,"Peanuts, unroasted","Fıstık, kavrulmamış",1,,
foodkg:ingredient#16088,"Peanuts, boiled","Fıstık, haşlanmış",1,,
foodkg:ingredient#16110,Soy nuts,Soya fıstığı,1,,
foodkg:ingredient#16113,Natto,Natto,1,,
foodkg:ingredient#16139,Soy milk,Soya sütü,1,3,
foodkg:ingredient#16225,"Soy milk, light","Soya sütü, hafif",1,,
foodkg:ingredient#16230,"Soy milk, nonfat","Soya sütü, yağsız",1,,
foodkg:ingredient#16337,"Red kidney beans, canned, drained, low sodium, fat not added in cooking","Kırmızı fasulye, konserve, süzülmüş, düşük sodyum, yağ  eklenmemiş",1,,
foodkg:ingredient#16360,"Chickpeas, canned, drained, low sodium, fat not added in cooking","Nohut, konserve, süzülmüş, düşük sodyum, yağ  eklenmemiş",1,,
foodkg:ingredient#16389,"Peanuts, roasted, unsalted","Fıstık, tuzsuz, kavrulmuş",1,,
foodkg:ingredient#16390,"Peanuts, dry roasted, unsalted","Fıstık, kuru kavrulmuş, tuzsuz",1,,
foodkg:ingredient#18375,Yeast,Maya,1,,
foodkg:ingredient#19009,Corn nuts,Mısır fıstığı,1,,
foodkg:ingredient#20033,"Oat bran, uncooked",Yulaf kepeği,1,,
foodkg:ingredient#36035,"Cabbage salad or coleslaw, from fast food / restaurant",Lahana veya lahana salatası,1,,
foodkg:ingredient#43406,Yeast extract spread,Maya özütü yayıldı,1,,
foodkg:ingredient#43060,"Chewing gum, sugar free","Çiklet, şekersiz",1,,
foodkg:ingredient#43128,"Chicken, meatless, NFS","Tavuk, etsiz",1,,
foodkg:ingredient#43142,"Radishes, pickled, Hawaiian style","Turp, turşu, Hawai tarzı",1,,
foodkg:ingredient#43143,"Cabbage, fresh, pickled, Japanese style","Lahana, taze, turşu, Japon tarzı",1,,
foodkg:ingredient#43476,"Yogurt, soy","Yoğurt, soya",1,3,
ingredient#nevo:335,Liver pate,Karaciğer ezmesi,,,
ingredient#nevo:344,Processed meat products average,İşlenmiş Et Ürünleri ortalama,,2,
ingredient#nevo:328,Ham smoked raw,Jambon domuz füme,,"2, 4",
ingredient#nevo:1776,Ham lean grilled,Jambon domuz ızgara,,4,
ingredient#nevo:2654,Chicken (processed meat product),Tavuk (İşlenmiş Et Ürünü),,2,
ingredient#nevo:3001,Turkey (processed meat product),Hindi (İşlenmiş Et Ürünü),,,
ingredient#nevo:278,Yoghurt full fat,Yoğurt tam yağlı,,2,
ingredient#nevo:279,"Milk, whole","Süt, bütün",,2,
ingredient#nevo:286,"Milk, semi-skimmed","Süt, yarı yağsız",,2,
ingredient#nevo:294,"Milk, skimmed","Süt, yağsız",,2,
ingredient#nevo:301,"Yoghurt, low fat","Yoğurt, düşük yağlı",,2,
ingredient#nevo:305,"Quark, low fat","Kuark, düşük yağlı",,2,
ingredient#nevo:306,"Quark, half fat","Kuark, yarım yağlı",,2,
ingredient#nevo:307,"Quark, full fat","Kuark, tam yağlı",,2,
ingredient#nevo:657,"Yoghurt, drink","Yoğurt, İçecek",,2,
ingredient#nevo:2503,"Yoghurt, Greek, full fat","Yoğurt, Yunan, tam yağlı",,,
ingredient#nevo:511,"Cheese, Edam, 40+","Peynir, Edam, 40+",,"2, 4",
ingredient#nevo:513,"Cheese, Gauda, 48+ average","Peynir, Gauda, ​​48+ ortalama",,4,
ingredient#nevo:516,"Cheese spread, 40+","Peynir ezme, 40+",,4,
ingredient#nevo:517,"Cheese spread, 20+","Peynir ezme, 20+",,,
ingredient#nevo:654,"Cheese, Cottage","Peynir, yazlık",,,
ingredient#nevo:883,"Cheese, Old Amsterdam, 48+","Peynir, Old Amsterdam, 48+",,,
ingredient#nevo:1382,"Cheese, 30+ average","Peynir, 30+ ortalama",,,
ingredient#nevo:1723,Cheese 20+,Peynir 20+,,,
ingredient#nevo:1724,"Cheese, 50+",Peynir 50+,,,
ingredient#nevo:1809,"Cheese, 45+","Peynir, 45+",,,
ingredient#nevo:2264,"Cheese, 10+","Peynir, 10+",,,
ingredient#nevo:230,"Roll, white, soft","Rulo, beyaz, yumuşak",,2,
ingredient#nevo:229,"Crispbread, average","Crispbread, ortalama",,2,
ingredient#nevo:2813,"Bread, raisin/current, average","Ekmek, kuru üzüm / akım, ortalama",,,
ingredient#nevo:2818,"Croissant, average","Kruvasan, ortalama",,"2, 4",
ingredient#nevo:240,Cake Dutch spiced Ontbijtkoek,"Pasta, baharatlı ontbijtkoek, Hollanda",,2,
ingredient#nevo:2809,Muesli with fruit,Meyveli Muesli,,2,
ingredient#nevo:467,Pancake prep with margarine,"Krep, margarin ile hazırlanmış",,"2, 4",
ingredient#nevo:445,Jam,Reçel,,"2, 4",
